text,binary,multiclass,id
"#USER# JAJAJAJAJAJAJA está esperando el mejor momento (????? 🤣 Precisamente por esa frase de ""Me las pagarán"" nosotros teorizamos que Spike se va a ""convertir"" en Wario o Waluigi, ya sabes que esa frase es muy de villano. Pero bueno, habrá que ver xD",Hope,Generalized Hope,3629
RT #USER# Mi único deseo es que se vaya este calor del orto y que vuelva el frío,Hope,Unrealistic Hope,2811
#USER# Estoy esperando los míos... lo que es el vicio!,Not Hope,Not Hope,7499
"No.. Yo ya no estoy para esperar.. Ni para rogar, ni competir con nadie.. Que va... Quien me da recibe.. #URL#",Not Hope,Not Hope,549
Damaris: “Anhelo que los peruanos podamos integrarnos” https://t.co/xOmiyfRcmR #Noticias  #Comparte #Música #Perú,Hope,Realistic Hope,7818
"bno, buenas noches mutis, les deseo una noche bien linda y que puedan descansar mucho 💗💗gngn",Hope,Generalized Hope,1540
Mientras me persigno y le rezo a la Virgen del Carmen. Así e'. #URL#,Not Hope,Not Hope,5533
Creo que estamos ante el mejor episodio de esta primera temporada. #TheLastOfUs,Hope,Generalized Hope,4350
"El que me regale oro pierde es su tiempo, no lo tolero, es algo innecesario para mí",Not Hope,Not Hope,2343
Bueno ojalá q cuando llegue este fin de semana pueda realmente quedarme en mi camaaaa sin movermeeee hasta que me pudra. Fin.,Hope,Realistic Hope,3593
"A ti te rezo samuel, gran personaje de la ciber comedia. #URL#",Hope,Generalized Hope,1395
#USER# Lo que estoy deseando es adaptarme y apuntarme al gimnasio... 😭😭😭😭😭😭,Hope,Realistic Hope,7012
"Ojalá volver a estar en ese momento porque después de un tiempo, por suerte bastante tiempo, mi vida empezó a ir cuesta abajo y sin frenos.",Hope,Unrealistic Hope,9089
"Ojalá que este domingo Zaldivia se transforme en un clon de Franco Baresi, para taparle la boca a los hinchas de la contra.  #VamosLaU ⚽️ #URL#",Hope,Unrealistic Hope,80
"#USER# #USER# Marcos de boludo no tiene un pelo pero no creo que sepa con certeza del acomodo de ellas, máximo y sospecha, afuera va saber y va entender muchas cosas que seguro no le cierran, y se va enterar lo mal que hablaron ellas de él, Agus le va mostrar los clips.",Not Hope,Not Hope,770
"Buenas noches, deseando que el vejete saque espuma por la boca mañana en la Marranera. #URL#",Hope,Unrealistic Hope,3264
#USER# Ojalá …… no me puedo imaginar la cantidad de MEMES que vamos a sacar en caso de que quedes como su candidata 😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣🤣😂😂😂🤣😂😂🤣😂😂🤣😂😂😂😂😂,Hope,Realistic Hope,7672
"No puedo esperar a estar en la playa con mis amigas, tomando el sol, llenándome de arena, comiendo y bebiendo rico.",Hope,Unrealistic Hope,6101
#USER# Bella Cora también te deseo una feliz y semana! Que tengas una linda noche🙏🌹😘,Hope,Generalized Hope,7598
Que ganas de tener a alguien que me espere con el almuerzo listo,Hope,Realistic Hope,1730
